 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 03, 03, 03, 03, 03, 03, 03, 03,
 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 02, 16, 16, 15, 15, 13, 13, 13, 13,
 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 16, 16, 15, 15, 13, 13, 13, 13,
 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 16, 16, 15, 15, 13, 13, 13, 13,
 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 07, 16, 16, 15, 15, 14, 14, 14, 14,
 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 16, 16, 15, 15, 14, 14, 14, 14,
 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 01, 16, 16, 15, 15, 14, 14, 14, 14,
 08, 08, 08, 08, 08, 08, 08, 06, 06, 06, 06, 06, 16, 16, 15, 15, 14, 14, 14, 14,
 08, 08, 08, 08, 08, 08, 08, 06, 06, 06, 06, 06, 16, 16, 15, 15, 12, 12, 12, 12,
 08, 08, 08, 08, 08, 08, 08, 06, 06, 06, 06, 06, 16, 16, 15, 15, 12, 12, 12, 12,
 09, 09, 09, 09, 09, 09, 09, 06, 06, 06, 06, 06, 16, 16, 10, 10, 10, 10, 10, 10,
 09, 09, 09, 09, 09, 09, 09, 06, 06, 06, 06, 06, 16, 16, 10, 10, 10, 10, 10, 10,
 09, 09, 09, 09, 09, 09, 09, 04, 04, 04, 04, 04, 04, 05, 05, 05, 05, 05, 11, 11,
 09, 09, 09, 09, 09, 09, 09, 04, 04, 04, 04, 04, 04, 05, 05, 05, 05, 05, 11, 11,
 09, 09, 09, 09, 09, 09, 09, 04, 04, 04, 04, 04, 04, 05, 05, 05, 05, 05, 11, 11,
